image_id,image_path,mask_image_path,label,num_elements_of_label_category
443303,000000443303.jpg,000000443303_mask.pkl,cat,1
25560,000000025560.jpg,000000025560_mask.pkl,cat,1
403817,000000403817.jpg,000000403817_mask.pkl,cat,1
366141,000000366141.jpg,000000366141_mask.pkl,cat,1
166277,000000166277.jpg,000000166277_mask.pkl,cat,1
269314,000000269314.jpg,000000269314_mask.pkl,cat,1
181859,000000181859.jpg,000000181859_mask.pkl,cat,1
177015,000000177015.jpg,000000177015_mask.pkl,cat,1
291490,000000291490.jpg,000000291490_mask.pkl,cat,1
211042,000000211042.jpg,000000211042_mask.pkl,cat,1
131131,000000131131.jpg,000000131131_mask.pkl,cat,1
98839,000000098839.jpg,000000098839_mask.pkl,cat,1
117908,000000117908.jpg,000000117908_mask.pkl,cat,1
223747,000000223747.jpg,000000223747_mask.pkl,cat,1
101762,000000101762.jpg,000000101762_mask.pkl,cat,1
284623,000000284623.jpg,000000284623_mask.pkl,cat,1
134096,000000134096.jpg,000000134096_mask.pkl,cat,1
80666,000000080666.jpg,000000080666_mask.pkl,cat,1
101420,000000101420.jpg,000000101420_mask.pkl,cat,1
411665,000000411665.jpg,000000411665_mask.pkl,cat,2
94336,000000094336.jpg,000000094336_mask.pkl,cat,1
290843,000000290843.jpg,000000290843_mask.pkl,cat,1
134882,000000134882.jpg,000000134882_mask.pkl,cat,1
176778,000000176778.jpg,000000176778_mask.pkl,cat,1
10363,000000010363.jpg,000000010363_mask.pkl,cat,1
286708,000000286708.jpg,000000286708_mask.pkl,cat,1
108244,000000108244.jpg,000000108244_mask.pkl,cat,1
186296,000000186296.jpg,000000186296_mask.pkl,cat,1
187236,000000187236.jpg,000000187236_mask.pkl,cat,2
271728,000000271728.jpg,000000271728_mask.pkl,cat,1
77595,000000077595.jpg,000000077595_mask.pkl,cat,1
278463,000000278463.jpg,000000278463_mask.pkl,cat,1
407960,000000407960.jpg,000000407960_mask.pkl,cat,1
333772,000000333772.jpg,000000333772_mask.pkl,cat,2
435299,000000435299.jpg,000000435299_mask.pkl,cat,1
77396,000000077396.jpg,000000077396_mask.pkl,cat,2
413395,000000413395.jpg,000000413395_mask.pkl,cat,2
311789,000000311789.jpg,000000311789_mask.pkl,cat,1
153217,000000153217.jpg,000000153217_mask.pkl,cat,1
219485,000000219485.jpg,000000219485_mask.pkl,cat,1
172330,000000172330.jpg,000000172330_mask.pkl,cat,1
89271,000000089271.jpg,000000089271_mask.pkl,cat,1
131938,000000131938.jpg,000000131938_mask.pkl,cat,1
115885,000000115885.jpg,000000115885_mask.pkl,cat,1
209747,000000209747.jpg,000000209747_mask.pkl,cat,1
149222,000000149222.jpg,000000149222_mask.pkl,cat,1
106389,000000106389.jpg,000000106389_mask.pkl,cat,1
300913,000000300913.jpg,000000300913_mask.pkl,cat,1
49810,000000049810.jpg,000000049810_mask.pkl,cat,2
63552,000000063552.jpg,000000063552_mask.pkl,cat,2
112798,000000112798.jpg,000000112798_mask.pkl,cat,1
121586,000000121586.jpg,000000121586_mask.pkl,cat,1
304560,000000304560.jpg,000000304560_mask.pkl,cat,1
312340,000000312340.jpg,000000312340_mask.pkl,cat,1
197528,000000197528.jpg,000000197528_mask.pkl,cat,1
366199,000000366199.jpg,000000366199_mask.pkl,cat,1
155291,000000155291.jpg,000000155291_mask.pkl,cat,1
402473,000000402473.jpg,000000402473_mask.pkl,cat,2
107087,000000107087.jpg,000000107087_mask.pkl,cat,1
375493,000000375493.jpg,000000375493_mask.pkl,cat,3
15497,000000015497.jpg,000000015497_mask.pkl,cat,1
118515,000000118515.jpg,000000118515_mask.pkl,cat,1
425390,000000425390.jpg,000000425390_mask.pkl,cat,1
61333,000000061333.jpg,000000061333_mask.pkl,cat,1
139684,000000139684.jpg,000000139684_mask.pkl,cat,1
386457,000000386457.jpg,000000386457_mask.pkl,cat,1
279145,000000279145.jpg,000000279145_mask.pkl,cat,1
385205,000000385205.jpg,000000385205_mask.pkl,cat,1
361621,000000361621.jpg,000000361621_mask.pkl,cat,1
222235,000000222235.jpg,000000222235_mask.pkl,cat,1
231831,000000231831.jpg,000000231831_mask.pkl,cat,1
4795,000000004795.jpg,000000004795_mask.pkl,cat,1
316015,000000316015.jpg,000000316015_mask.pkl,cat,1
119828,000000119828.jpg,000000119828_mask.pkl,cat,1
357941,000000357941.jpg,000000357941_mask.pkl,cat,1
312213,000000312213.jpg,000000312213_mask.pkl,cat,1
1675,000000001675.jpg,000000001675_mask.pkl,cat,1
39769,000000039769.jpg,000000039769_mask.pkl,cat,2
227044,000000227044.jpg,000000227044_mask.pkl,cat,1
167122,000000167122.jpg,000000167122_mask.pkl,cat,1
320554,000000320554.jpg,000000320554_mask.pkl,cat,1
116825,000000116825.jpg,000000116825_mask.pkl,cat,1
432468,000000432468.jpg,000000432468_mask.pkl,cat,1
329319,000000329319.jpg,000000329319_mask.pkl,cat,1
398810,000000398810.jpg,000000398810_mask.pkl,cat,2
174231,000000174231.jpg,000000174231_mask.pkl,cat,1
364297,000000364297.jpg,000000364297_mask.pkl,cat,1
243344,000000243344.jpg,000000243344_mask.pkl,cat,1
240940,000000240940.jpg,000000240940_mask.pkl,cat,1
117374,000000117374.jpg,000000117374_mask.pkl,cat,2
78420,000000078420.jpg,000000078420_mask.pkl,cat,1
202445,000000202445.jpg,000000202445_mask.pkl,cat,1
84650,000000084650.jpg,000000084650_mask.pkl,cat,1
416256,000000416256.jpg,000000416256_mask.pkl,cat,1
213445,000000213445.jpg,000000213445_mask.pkl,cat,1
163155,000000163155.jpg,000000163155_mask.pkl,cat,1
255965,000000255965.jpg,000000255965_mask.pkl,cat,1
405306,000000405306.jpg,000000405306_mask.pkl,cat,1
109055,000000109055.jpg,000000109055_mask.pkl,cat,1
424545,000000424545.jpg,000000424545_mask.pkl,cat,1
185250,000000185250.jpg,000000185250_mask.pkl,dog,1
329219,000000329219.jpg,000000329219_mask.pkl,dog,1
29393,000000029393.jpg,000000029393_mask.pkl,dog,1
107226,000000107226.jpg,000000107226_mask.pkl,dog,3
134112,000000134112.jpg,000000134112_mask.pkl,dog,1
482917,000000482917.jpg,000000482917_mask.pkl,dog,1
255664,000000255664.jpg,000000255664_mask.pkl,dog,1
